date,time,task_id_1,task_id_2,model_name_1,model_name_2,model_id_1,model_id_2,temperature_1,temperature_2,N_1,N_2,prompt_tokens_1,prompt_tokens_2,completion_tokens_1,completion_tokens_2,total_tokens_1,total_tokens_2,theta_mean_1,theta_mean_2,theta_median_1,theta_median_2,theta_min_1,theta_min_2,theta_max_1,theta_max_2,theta_type,sd_1,sd_2,cv_1,cv_2,iqr_1,iqr_2,q1_1,q1_2,q3_1,q3_2,test_type,estimated_difference,ci_method,ci_confidence-level,ci_low,ci_high,ci_width,statistical_test,test_statistic,p_value,effect_size_name,effect_size,effect_size_magnitude
2026-09-24,11:03:40,task-id-53,task-id-54,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,30,710668,842430,1831463,336100,2542131,1178530,0.9334812446376454,0.8272357723577236,0.9355746172292935,0.8292682926829268,0.9146341463414634,0.7804878048780488,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.019436705668000667,1.1758559530162342,2.349596852249712,0.017441771726853683,0.018292682926829285,0.9231966787752984,0.8170731707317073,0.9406384505021521,0.8353658536585366,independent,0.10624547227992176,bootstrap_difference,95.0,0.09855687202696521,0.11429883557332414,0.015741963546358928,Mann-Whitney U,900.0,2.8555962787117833e-11,Cliff's delta,1.0,large
2026-09-24,11:18:50,task-id-53,task-id-54,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,30,710668,842430,1831463,336100,2542131,1178530,0.9334812446376454,0.8272357723577236,0.9355746172292935,0.8292682926829268,0.9146341463414634,0.7804878048780488,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.019436705668000667,1.1758559530162342,2.349596852249712,0.017441771726853683,0.018292682926829285,0.9231966787752984,0.8170731707317073,0.9406384505021521,0.8353658536585366,independent,0.10624547227992176,bootstrap_difference,95.0,0.098680224689447,0.11375620507258777,0.015075980383140772,Mann-Whitney U,900.0,2.8555962787117833e-11,Cliff's delta,1.0,large
2026-09-24,11:23:02,task-id-53,task-id-54,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,30,710668,842430,1831463,336100,2542131,1178530,0.9334812446376454,0.8272357723577236,0.9355746172292935,0.8292682926829268,0.9146341463414634,0.7804878048780488,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.019436705668000667,1.1758559530162342,2.349596852249712,0.017441771726853683,0.018292682926829285,0.9231966787752984,0.8170731707317073,0.9406384505021521,0.8353658536585366,independent,0.10624547227992176,bootstrap_difference,95.0,0.09840230597946088,0.11447724916431977,0.016074943184858886,Mann-Whitney U,900.0,2.8555962787117833e-11,Cliff's delta,1.0,large
2026-09-25,08:15:47,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.10330830378843041,0.1159811235900743,0.012672819801643892,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
2026-09-25,08:23:03,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.10320589734673852,0.11575649231940184,0.012550594972663323,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
2026-09-25,08:24:33,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.10367917395717927,0.11588679901109453,0.012207625053915261,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
2026-09-25,08:29:33,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.10376033385851813,0.11599379301312575,0.01223345915460762,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
2026-09-25,08:31:10,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.10360569662871563,0.11621386483708131,0.012608168208365675,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
2026-09-25,08:33:04,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.1035364746650803,0.11595542449798318,0.012418949832902884,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
2026-09-25,08:33:20,task-id-53,task-id-68,gemini,qwen-coder,gemini-3.1-flash-lite,qwen2.5-coder:7b,2.0,2.0,30,67,710668,1881427,1831463,753813,2542131,2635240,0.9334812446376454,0.8238077903167091,0.9355746172292935,0.823170731707317,0.9146341463414634,0.774390243902439,0.9512195121951219,0.8658536585365854,continuous,0.01097639478536179,0.020421087442399014,1.1758559530162342,2.478865541505528,0.017441771726853683,0.024390243902438935,0.9231966787752984,0.8109756097560976,0.9406384505021521,0.8353658536585366,independent,0.10967345432093623,bootstrap_difference,95.0,0.10349404868845528,0.11566614927918671,0.012172100590731427,Mann-Whitney U,2010.0,3.927178751903096e-15,Cliff's delta,1.0,large
